"expression","example_fr","example_en"
"I:","information en general","information in general"
"O:","processus | verbe | bi-polarité","process | grammatical verbishness | bi-polarity"
"M:","Entité, nom, ternarité sémiotique","representation | grammatical nounishness | ternarity"
"F:","plénitude | non-fiction","fullness | non-fiction"
"U:","virtuel","virtual"
"A:","actuel","actual"
"S:","signe","sign"
"B:","être","being"
"T:","chose","thing"
"E:","vide | silence | illusion | fiction","emptiness | silence | illusion | fiction"
"E:+O:","processus fictif","fictitious process"
"E:+M:","représentation fictive","fictitious representation"
"E:+U:","fiction de virtualité","fiction of virtuality"
"E:+A:","fiction d'actualité","fiction of actuality"
"E:+S:","signe fictif","fictitious sign"
"E:+B:","être fictif","fictitious being"
"E:+T:","chose fictive","fictitious thing"
"U:+M:","réseaux virtuels","virtual networks"
"A:+M:","réseaux actuels","actual networks"
"O:+S:","réseaux de signes","networks of signs"
"U:+S:","réseaux de connaissances","networks of knowledge"
"A:+S:","réseaux documentaires","documentary networks"
"O:+B:","réseaux d'êtres","networks of beings"
"U:+B:","réseaux de volontés | réseaux de règles","networks of will | networks of rules"
"A:+B:","réseaux personnels","personal networks"
"O:+T:","réseaux de choses","networks of things"
"U:+T:","réseaux de pouvoirs","networks of powers"
"A:+T:","réseaux corporels","corporeal networks"
"E:+O:+S:","réseaux fictifs de signes","fictitious networks of signs"
"E:+O:+B:","réseaux fictifs d'êtres","fictitious networks of beings"
"E:+O:+T:","réseaux fictifs de choses","fictitious networks of things"
"E:+U:+M:","réseaux virtuels fictifs","fictitious virtual networks"
"E:+A:+M:","réseaux actuels fictifs","fictitious actual networks"
"E:+U:+S:","réseaux fictifs de connaissances","fictitious networks of knowledge"
"E:+A:+S:","réseaux documentaires fictifs","fictitious documentary networks"
"E:+U:+B:","réseaux fictifs de volontés | réseaux fictifs de règles","fictitious networks of will | fictitious networks of rules"
"E:+A:+B:","réseaux personnels fictifs","fictitious personal networks"
"E:+U:+T:","réseaux fictifs de pouvoirs","fictitious networks of powers"
"E:+A:+T:","réseaux corporels fictifs","fictitious corporeal networks"
"O:O:.","générer","to generate"
"O:M:.","agir","to act"
"M:O:.","mutation","mutation"
"M:M:.","devenir","basis test"
"O:U:.","générer vers le virtuel","to generate towards the virtual"
"O:A:.","générer vers le virtuel","to generate towards the actual"
"U:O:.","générer à partir du virtuel","generate from the virtual"
"A:O:.","générer à partir de l'actuel","to generate from the actual"
"wo.","générer des possibilités","to generate possibilities"
"wu.","percevoir","to perceive"
"wa.","opérer","to operate"
"we.","reconstituer","to reconstitute"
"O:S:.","agir selon le signe","to act according to sign"
"O:B:.","agir selon le signe","to act according to being"
"O:T:.","agir selon la chose","to act according to thing"
"U:M:.","agir virtuellement","to act virtually"
"A:M:.","agir actuellement","to act actually"
"y.","savoir","to know"
"u.","énoncer","to state"
"o.","vouloir","to want"
"a.","s'engager","to commit oneself"
"e.","pouvoir","to be able"
"i.","faire","to do"
"S:O:.","signe en mutation","sign in mutation"
"B:O:.","être en mutation","being in mutation"
"T:O:.","chose en mutation","thing in mutation"
"M:U:.","mutation virtuelle","virtual mutation"
"M:A:.","mutation actuelle","actual mutation"
"j.","mutation de signifiant","signifier mutation"
"g.","mutation documentaire","document mutation"
"h.","mutation de signifié","signified mutation"
"c.","mutation personnelle","personal mutation"
"p.","mutation de référent","referent mutation"
"x.","mutation matérielle","material mutation"
"M:S:.",NULL,"basis for sign"
"M:B:.",NULL,"basis for being"
"M:T:.",NULL,"basis for thing"
"S:M:.","base dans le signe","basis in sign"
"B:M:.","base dans l'être","basis in being"
"T:M:.","base dans la chose","basis in thing"
"s.","pensée","thought"
"k.","société","society"
"d.","vérité","truth"
"b.","langage","language"
"m.","affect","affect"
"f.","vie","life"
"t.","mémoire","memory"
"n.","monde","world"
"l.",NULL,"space"
"E:F:O:.","stratégie logique","logical strategy"
"E:F:U:.","possibilité logique (peut)","logical possibility (may)"
"E:F:A:.","nécessité logique (doit)","logical necessity (must)"
"E:F:M:.","adverbe de gradient","gradient adverb"
"E:F:S:.","moins","less"
"E:F:B:.","medium","medium"
"E:F:T:.","plus","more"
"E:O:O:.","construction logique","logical construction"
"E:O:U:.","peut logique","logical may"
"E:O:A:.","doit logique","logical must"
"E:U:O:.","mode déconstructif","deconstructive mode"
"E:A:O:.","mode constructif","constructive mode"
"E:U:U:.","interrogation?","interrogation?"
"E:A:U:.","citation","quotation"
"E:U:A:.","négation","negation"
"E:A:A:.","affirmation","affirmation"
"E:O:M:.","variation","variation"
"E:O:S:.","moins comparatif","comparative minus"
"E:O:B:.","medium comparatif","comparative medium"
"E:O:T:.","plus comparatif","comparative plus"
