t.e.-m.u.-' , représentation dramatique , dramatic representation
t.i.-s.i.-' , véhicule , vehicle
o.wa.- , utiliser le droit administratif | utiliser le droit commercial , to use administrative law | to use commercial law
E:B:.b.- , à gauche de , at the left
t.o.-h.h.-' , sens de l'histoire , meaning of history
e.o.-we.h.-' , poser des normes & standards , to establish norms & standards
m.o.-a.a.-' ,  âme | psyché , soul | psyche
x.t.- , défaut de coordination | défaut de gestion des ressources , deficiency in coordination | deficiency in resources management
n.j.- , transformation durable du langage , sustainable transformation of language
b.e.-s.u.-' , culture visuelle , visual culture
d.i.-m.i.-t.u.-' , primé | décoré , awarded | decorated
b.u.- , parole , speech
o.h.- , choisir une interprétation , to choose an interpretation
t.o.-y.y.-s.y.-' , histoire sciences / arts , history of sciences / art history
wo.s.- , brasser les idées , to brainstorm
c.b.- , langage d'exclusion ou de haine | discrimination basée sur des préjugés , language of exclusion or hate | discrimination based on prejudice
s.i.-b.i.-t.u.-' , multimédia , multimedia
M:O:.j.- , transformation dans le savoir , transformation in knowledge
t.a.-k.a.-' , fonction publique , public service
t.o.-d.o.-s.u.-' , pertinent , relevant
U:+B: , réseaux de volontés | réseaux de règles , networks of will | networks of rules
S:M:. , base dans le signe , basis in sign
E:A:.wu.- , son masculin , his | my masculine | your masculine
n.o.-d.o.-' , évaluation , evaluation
n.e.-b.a.-wa.e.-' , compétence en représentation d'un groupe , competence in representing a group
s.o.-e.e.-' , condition de travail , work conditions
O:M:.k.- , défaire la société , to undo society
y.wu.- , assumer son identité personnelle , to assume one's personal identity
E:+A:+T: , réseaux corporels fictifs , fictitious corporeal networks
l.o.-p.p.-s.y.-' , études stratégiques , strategic studies
l.-S:.U:.-' , nord spatial , spatial north
d.u.-k.u.-' , temple , temple
E:S:.i.- , devra faire , will do
E:B:.s.- , dans l'espace ouvert , in open space
y.a.- , apprendre , to learn
m.o.-f.o.-' , séduction , seduction
f.e.-n.i.-wa.e.-' , compétence en sports extrêmes , competence in extreme sports
d.a.-t.a.-' , épargne , savings
M:M:.a.- , fonction sociale , social function
m.i.-t.i.-t.u.-' , protégé , protected
x.c.- , nouvelle acquisition , new acquisition
f.i.-b.i.-t.u.-' , médicamenté , medicated
l.e.-n.i.-wa.e.-' , compétence en conception d'outils | compétence en conception de machines , competence in tool design | competence in machine design
M:M:.U:M:.- , base du développement humain dans le virtuel , basis of human development into the virtual
wo.M:M:.- , cultiver la variation de l'expérience , to cultivate experience variation
p.f.- , vol | concurrence déloyale , theft | unfair competition
d.i.-n.i.-' , instrument de pilotage , steering device
u.i.- , prêter , to lend
E:+A:+S: , réseaux documentaires fictifs , fictitious documentary networks
f.o.-f.o.-s.u.-' , vivant , living
d.a.-f.a.-f.o.-' , enseignant , teacher
E:O:.T:M:.- , bas | dessous | derrière | après , low | under | behind | after
k.o.-l.o.-s.u.-' , institué , instituted
d.e.-k.i.-' , transaction commerciale , commercial transaction
E:A:.u.- , exprimant , expressing
b.o.-u.u.-s.y.-' , linguistique , linguistics
o.S:.- , transporter | amener , to bring | to carry
we.i.- , renouveler l'équipement , to renew equipment
f.o.-t.o.-' , croissance , growth
k.a.-f.a.-' , repas , meal
d.o.-g.g.-s.y.-' , psychologie cognitive , cognitive psychology
j.e.- , reconnaissance du pouvoir , power recognition
E:B:B:. , généralement | régulièrement , usually | regularly
b.o.-h.h.-s.y.-' , herméneutique , hermeneutics
o.O:M:.- , performer sur une base de volonté , to perform on a basis of will
m.o.-i.i.-s.y.-' , médecine , medicine
k.o.-j.j.-s.y.-' , écologie cognitive , cognitive ecology
E:M:.t.- , commencement dans l'espace relatif , relative space beginning
g.k.- , désaffection du public | désaffection du médium , lack of interest from the public | lack of interest for the medium
d.o.-e.e.-' , degré de compétence , competence level
f.o.-u.u.-' , musique , music
s.o.-m.o.-s.u.-' , comique | drôle , comical | funny
k.c.- , lien social renouvelé , renewed social bond
t.e.-t.u.-' , cognition augmentée , augmented cognition
O:O:.t.- , fournir des ressources à  l'action par la maîtrise du temps , to provide resources for action through time mastering
s.o.-f.o.-s.u.-' , incarné , embodied
t.e.-f.u.-' , musique originale , original music
m.a.-b.a.-' , jeu , game
E:O:.l.- , bas en relation au tout | derrière en relation au tout | après temps spatialisé , low relative to whole | behind relative to whole | after spatialized time
E:O:B:. , medium comparatif , comparative medium
d.o.-e.e.-s.y.-' , docimologie / science des tests , science of tests and exams
E:A:.d.- , vers l'arrière , towards the back
d.e.-d.i.-' , mesure , measurement
k.u.-t.u.-' , présage | signe divinatoire , omen | divinatory sign
s.u.-d.u.-' , légende , legend
u.M:M:.- , fragiliser la fonction sémiotique , to undermine the semiotic function
s.-O:.O:.-M:.O:.-' , niveaux et fonctions noétiques , noetic levels and functions
d.u.-m.u.-d.u.-' , réflexe , reflex
h.i.- , interprétation des faits pertinente , relevant interpretation of facts
O:M:.x.- , travailler sur la méthode | travailler sur le projet , to work on the method | to work on the project
p.s.- , manque de moyens | situation de besoin | pauvreté , lack of means | situation of need | poverty
l.u.-f.u.-d.u.-' , tactile | kinesthésique , tactile | kinesthetic
i.U:.- , frapper , to hit
E:U:.n.- , à  mi-hauteur | au niveau de base , at half the height | at base level
t.i.-l.i.-' , ville , city
we.A:.- , isoler | protéger du contact , to insulate | to protect from contact
wu.x.- , évaluer le système technique , to assess the technical system
i.g.- , élaborer son discours , to elaborate one's discourse
e.o.- , concevoir | planifier , to design | to plan
wu.g.- , évaluer le mode de communication en usage , to assess the communication mode in use
O:O:.B:.- , contrôler l'expérience physico-chimique , to control physicochemical experience
t.o.-f.o.-' , rythme , rhythm
o.u.- , faire campagne , to campaign
wo.b.- , augmenter les ressources linguistiques , to augment linguistic resources
b.o.-p.p.-' , actes de langage , language acts
h.M:M:.- , obstacle spirituel , spiritual obstacle
s.a.-m.a.-' , mariage , marriage
t.o.-y.y.-' , discipline artistique | discipline scientifique , artistic discipline | scientific discipline
E:M:.c.- , opérande , actual functional cause
k.i.-n.i.-' , atelier , workshop
E:B:.wo.- , tu | toi , you singular
k.e.-b.a.-' , crédibilité , credibility
s.a.-t.a.-' , donnée , data
b.-S:.A:.-' , jaune , yellow
E:T:.c.- , état dune machine , state of a machine
b.O:M:.- , langage actualisé , misuse language
E:O:S:. , moins comparatif , comparative minus
E:B:S:. , rarement , rarely
d.o.-b.o.-s.u.-' , décrit , described
e.B:.- , rassembler , to gather
m.y.- , intelligence émotionnelle , emotional intelligence
O:M:.i.-we.h.-' , perfectionner l'intelligence collective en augmentant les processus , to improve collective intelligence by augmenting the processes
n.a.-k.a.-f.o.-' , réformateur , reformer
i.O:M:.-we.h.-' , perfectionner l'intelligence collective en utilisant les processus , to improve collective intelligence by using processes
l.o.-o.o.-' , coordonnées personnelles , personal coordinates
n.o.-k.o.-' , religion , religion
x.M:M:.- , obstacle technique , technical obstacle
O:U:. , générer vers le virtuel , to generate towards the virtual
i.x.- , travailler la matière , to work with matter
m.a.-m.a.-f.o.-' , familier , familiar
c.s.- , fanatisme | ultraconservatisme , fanaticism | ultraconservatism
a.f.- , agresser physiquement , to physically assault
b.a.-b.a.-f.o.-' , auteur , author
O:O:.c.- , gouverner la communauté , to govern the community
s.u.-k.u.-' , icône , icon
E:E:M:. , indicateurs de cas pour clauses verbale , case indicators for verb clauses
E:T:.t.- , en dehors , outside
b.e.-l.u.-' , compréhension scientifique , scientific comprehension
