t.e.-m.u.-' , représentation dramatique , dramatic representation , 0 , 3 , 2
t.i.-s.i.-' , véhicule , vehicle , 0 , 3 , 2
o.wa.- , utiliser le droit administratif | utiliser le droit commercial , to use administrative law | to use commercial law , 0 , 2 , 1
E:B:.b.- , à gauche de , at the left , 0 , 2 , 3
t.o.-h.h.-' , sens de l'histoire , meaning of history , 0 , 3 , 2
e.o.-we.h.-' , poser des normes & standards , to establish norms & standards , 0 , 3 , 1
m.o.-a.a.-' ,  âme | psyché , soul | psyche , 0 , 3 , 2
x.t.- , défaut de coordination | défaut de gestion des ressources , deficiency in coordination | deficiency in resources management , 0 , 2 , 2
n.j.- , transformation durable du langage , sustainable transformation of language , 0 , 2 , 2
b.e.-s.u.-' , culture visuelle , visual culture , 0 , 3 , 2
d.i.-m.i.-t.u.-' , primé | décoré , awarded | decorated , 0 , 3 , 2
b.u.- , parole , speech , 0 , 2 , 2
o.h.- , choisir une interprétation , to choose an interpretation , 0 , 2 , 1
t.o.-y.y.-s.y.-' , histoire sciences / arts , history of sciences / art history , 0 , 3 , 2
wo.s.- , brasser les idées , to brainstorm , 0 , 2 , 1
c.b.- , langage d'exclusion ou de haine | discrimination basée sur des préjugés , language of exclusion or hate | discrimination based on prejudice , 0 , 2 , 2
s.i.-b.i.-t.u.-' , multimédia , multimedia , 0 , 3 , 2
M:O:.j.- , transformation dans le savoir , transformation in knowledge , 0 , 2 , 2
t.a.-k.a.-' , fonction publique , public service , 0 , 3 , 2
t.o.-d.o.-s.u.-' , pertinent , relevant , 0 , 3 , 2
U:+B: , réseaux de volontés | réseaux de règles , networks of will | networks of rules , 0 , 0 , 1
S:M:. , base dans le signe , basis in sign , 0 , 1 , 2
E:A:.wu.- , son masculin , his | my masculine | your masculine , 0 , 2 , 3
n.o.-d.o.-' , évaluation , evaluation , 0 , 3 , 2
n.e.-b.a.-wa.e.-' , compétence en représentation d'un groupe , competence in representing a group , 0 , 3 , 2
s.o.-e.e.-' , condition de travail , work conditions , 0 , 3 , 2
O:M:.k.- , défaire la société , to undo society , 0 , 2 , 1
y.wu.- , assumer son identité personnelle , to assume one's personal identity , 0 , 2 , 1
E:+A:+T: , réseaux corporels fictifs , fictitious corporeal networks , 0 , 0 , 3
l.o.-p.p.-s.y.-' , études stratégiques , strategic studies , 0 , 3 , 2
l.-S:.U:.-' , nord spatial , spatial north , 0 , 3 , 2
d.u.-k.u.-' , temple , temple , 0 , 3 , 2
E:S:.i.- , devra faire , will do , 0 , 2 , 3
E:B:.s.- , dans l'espace ouvert , in open space , 0 , 2 , 3
y.a.- , apprendre , to learn , 0 , 2 , 1
m.o.-f.o.-' , séduction , seduction , 0 , 3 , 2
f.e.-n.i.-wa.e.-' , compétence en sports extrêmes , competence in extreme sports , 0 , 3 , 2
d.a.-t.a.-' , épargne , savings , 0 , 3 , 2
M:M:.a.- , fonction sociale , social function , 0 , 2 , 2
m.i.-t.i.-t.u.-' , protégé , protected , 0 , 3 , 2
x.c.- , nouvelle acquisition , new acquisition , 0 , 2 , 2
f.i.-b.i.-t.u.-' , médicamenté , medicated , 0 , 3 , 2
l.e.-n.i.-wa.e.-' , compétence en conception d'outils | compétence en conception de machines , competence in tool design | competence in machine design , 0 , 3 , 2
M:M:.U:M:.- , base du développement humain dans le virtuel , basis of human development into the virtual , 0 , 2 , 2
wo.M:M:.- , cultiver la variation de l'expérience , to cultivate experience variation , 0 , 2 , 1
p.f.- , vol | concurrence déloyale , theft | unfair competition , 0 , 2 , 2
d.i.-n.i.-' , instrument de pilotage , steering device , 0 , 3 , 2
u.i.- , prêter , to lend , 0 , 2 , 1
E:+A:+S: , réseaux documentaires fictifs , fictitious documentary networks , 0 , 0 , 3
f.o.-f.o.-s.u.-' , vivant , living , 0 , 3 , 2
d.a.-f.a.-f.o.-' , enseignant , teacher , 0 , 3 , 2
E:O:.T:M:.- , bas | dessous | derrière | après , low | under | behind | after , 0 , 2 , 3
k.o.-l.o.-s.u.-' , institué , instituted , 0 , 3 , 2
d.e.-k.i.-' , transaction commerciale , commercial transaction , 0 , 3 , 2
E:A:.u.- , exprimant , expressing , 0 , 2 , 3
b.o.-u.u.-s.y.-' , linguistique , linguistics , 0 , 3 , 2
o.S:.- , transporter | amener , to bring | to carry , 0 , 2 , 1
we.i.- , renouveler l'équipement , to renew equipment , 0 , 2 , 1
f.o.-t.o.-' , croissance , growth , 0 , 3 , 2
k.a.-f.a.-' , repas , meal , 0 , 3 , 2
d.o.-g.g.-s.y.-' , psychologie cognitive , cognitive psychology , 0 , 3 , 2
j.e.- , reconnaissance du pouvoir , power recognition , 0 , 2 , 2
E:B:B:. , généralement | régulièrement , usually | regularly , 0 , 1 , 3
b.o.-h.h.-s.y.-' , herméneutique , hermeneutics , 0 , 3 , 2
o.O:M:.- , performer sur une base de volonté , to perform on a basis of will , 0 , 2 , 1
m.o.-i.i.-s.y.-' , médecine , medicine , 0 , 3 , 2
k.o.-j.j.-s.y.-' , écologie cognitive , cognitive ecology , 0 , 3 , 2
E:M:.t.- , commencement dans l'espace relatif , relative space beginning , 0 , 2 , 3
g.k.- , désaffection du public | désaffection du médium , lack of interest from the public | lack of interest for the medium , 0 , 2 , 2
d.o.-e.e.-' , degré de compétence , competence level , 0 , 3 , 2
f.o.-u.u.-' , musique , music , 0 , 3 , 2
s.o.-m.o.-s.u.-' , comique | drôle , comical | funny , 0 , 3 , 2
k.c.- , lien social renouvelé , renewed social bond , 0 , 2 , 2
t.e.-t.u.-' , cognition augmentée , augmented cognition , 0 , 3 , 2
O:O:.t.- , fournir des ressources à  l'action par la maîtrise du temps , to provide resources for action through time mastering , 0 , 2 , 1
s.o.-f.o.-s.u.-' , incarné , embodied , 0 , 3 , 2
t.e.-f.u.-' , musique originale , original music , 0 , 3 , 2
m.a.-b.a.-' , jeu , game , 0 , 3 , 2
E:O:.l.- , bas en relation au tout | derrière en relation au tout | après temps spatialisé , low relative to whole | behind relative to whole | after spatialized time , 0 , 2 , 3
E:O:B:. , medium comparatif , comparative medium , 0 , 1 , 3
d.o.-e.e.-s.y.-' , docimologie / science des tests , science of tests and exams , 0 , 3 , 2
E:A:.d.- , vers l'arrière , towards the back , 0 , 2 , 3
d.e.-d.i.-' , mesure , measurement , 0 , 3 , 2
k.u.-t.u.-' , présage | signe divinatoire , omen | divinatory sign , 0 , 3 , 2
s.u.-d.u.-' , légende , legend , 0 , 3 , 2
u.M:M:.- , fragiliser la fonction sémiotique , to undermine the semiotic function , 0 , 2 , 1
s.-O:.O:.-M:.O:.-' , niveaux et fonctions noétiques , noetic levels and functions , 1 , 3 , 2
d.u.-m.u.-d.u.-' , réflexe , reflex , 0 , 3 , 2
h.i.- , interprétation des faits pertinente , relevant interpretation of facts , 0 , 2 , 2
O:M:.x.- , travailler sur la méthode | travailler sur le projet , to work on the method | to work on the project , 0 , 2 , 1
p.s.- , manque de moyens | situation de besoin | pauvreté , lack of means | situation of need | poverty , 0 , 2 , 2
l.u.-f.u.-d.u.-' , tactile | kinesthésique , tactile | kinesthetic , 0 , 3 , 2
i.U:.- , frapper , to hit , 0 , 2 , 1
E:U:.n.- , à  mi-hauteur | au niveau de base , at half the height | at base level , 0 , 2 , 3
t.i.-l.i.-' , ville , city , 0 , 3 , 2
we.A:.- , isoler | protéger du contact , to insulate | to protect from contact , 0 , 2 , 1
wu.x.- , évaluer le système technique , to assess the technical system , 0 , 2 , 1
i.g.- , élaborer son discours , to elaborate one's discourse , 0 , 2 , 1
e.o.- , concevoir | planifier , to design | to plan , 0 , 2 , 1
wu.g.- , évaluer le mode de communication en usage , to assess the communication mode in use , 0 , 2 , 1
O:O:.B:.- , contrôler l'expérience physico-chimique , to control physicochemical experience , 0 , 2 , 1
t.o.-f.o.-' , rythme , rhythm , 0 , 3 , 2
o.u.- , faire campagne , to campaign , 0 , 2 , 1
wo.b.- , augmenter les ressources linguistiques , to augment linguistic resources , 0 , 2 , 1
b.o.-p.p.-' , actes de langage , language acts , 0 , 3 , 2
h.M:M:.- , obstacle spirituel , spiritual obstacle , 0 , 2 , 2
s.a.-m.a.-' , mariage , marriage , 0 , 3 , 2
t.o.-y.y.-' , discipline artistique | discipline scientifique , artistic discipline | scientific discipline , 0 , 3 , 2
E:M:.c.- , opérande , actual functional cause , 0 , 2 , 3
k.i.-n.i.-' , atelier , workshop , 0 , 3 , 2
E:B:.wo.- , tu | toi , you singular , 0 , 2 , 3
k.e.-b.a.-' , crédibilité , credibility , 0 , 3 , 2
s.a.-t.a.-' , donnée , data , 0 , 3 , 2
b.-S:.A:.-' , jaune , yellow , 0 , 3 , 2
E:T:.c.- , état dune machine , state of a machine , 0 , 2 , 3
b.O:M:.- , langage actualisé , misuse language , 0 , 2 , 2
E:O:S:. , moins comparatif , comparative minus , 0 , 1 , 3
E:B:S:. , rarement , rarely , 0 , 1 , 3
d.o.-b.o.-s.u.-' , décrit , described , 0 , 3 , 2
e.B:.- , rassembler , to gather , 0 , 2 , 1
m.y.- , intelligence émotionnelle , emotional intelligence , 0 , 2 , 2
O:M:.i.-we.h.-' , perfectionner l'intelligence collective en augmentant les processus , to improve collective intelligence by augmenting the processes , 0 , 3 , 1
n.a.-k.a.-f.o.-' , réformateur , reformer , 0 , 3 , 2
i.O:M:.-we.h.-' , perfectionner l'intelligence collective en utilisant les processus , to improve collective intelligence by using processes , 0 , 3 , 1
l.o.-o.o.-' , coordonnées personnelles , personal coordinates , 0 , 3 , 2
n.o.-k.o.-' , religion , religion , 0 , 3 , 2
x.M:M:.- , obstacle technique , technical obstacle , 0 , 2 , 2
O:U:. , générer vers le virtuel , to generate towards the virtual , 0 , 1 , 1
i.x.- , travailler la matière , to work with matter , 0 , 2 , 1
m.a.-m.a.-f.o.-' , familier , familiar , 0 , 3 , 2
c.s.- , fanatisme | ultraconservatisme , fanaticism | ultraconservatism , 0 , 2 , 2
a.f.- , agresser physiquement , to physically assault , 0 , 2 , 1
b.a.-b.a.-f.o.-' , auteur , author , 0 , 3 , 2
O:O:.c.- , gouverner la communauté , to govern the community , 0 , 2 , 1
s.u.-k.u.-' , icône , icon , 0 , 3 , 2
E:E:M:. , indicateurs de cas pour clauses verbale , case indicators for verb clauses , 1 , 1 , 3
E:T:.t.- , en dehors , outside , 0 , 2 , 3
b.e.-l.u.-' , compréhension scientifique , scientific comprehension , 0 , 3 , 2
b.i.-b.i.-t.u.-' , ubiquitaire , ubiquitous , 0 , 3 , 2
d.wu.- , contrainte esthétique , aesthetic constraint , 0 , 2 , 2
u.F:.- , se déplacer , to move oneself , 0 , 2 , 1
k.o.-u.u.-s.y.-' , socio-linguistique , socio-linguistics , 0 , 3 , 2
E:T:.p.- , but | pour | finalité , goal | for | purpose , 0 , 2 , 3
t.e.-b.u.-wa.e.-' , compétence en éloquence , competence in eloquence , 0 , 3 , 2
E:B:.f.- , à  droite de , at the right of , 0 , 2 , 3
y.n.- , ignorer les principes , to ignore principles , 0 , 2 , 1
x.p.- , partage , sharing , 0 , 2 , 2
m.o.-h.h.-' , saints | grands exemples , saints | great examples , 0 , 3 , 2
s.e.-d.u.-wa.e.-' , compétence en recherche d'information , competence in information search , 0 , 3 , 2
E:U:.wu.- , ce masculin , this masculine , 0 , 2 , 3
E:S:O:. , hypothèse si , hypothesis if , 0 , 1 , 3
c.f.- , échec personnel | défaite personnelle , personal failure | personal defeat , 0 , 2 , 2
d.i.-t.i.-t.u.-' , compté | mesuré , numbered | measured , 0 , 3 , 2
o.d.- , mentir , to lie , 0 , 2 , 1
b.y.- , intelligence formelle , formal intelligence , 0 , 2 , 2
n.o.-n.o.-s.u.-' , humain , human , 0 , 3 , 2
n.-T:.U:.-' , air | vent , air | wind , 0 , 3 , 2
t.o.-o.o.-' , identité institutionnelle , institutional identity , 0 , 3 , 2
k.a.-m.a.-' , fraternité , fraternity , 0 , 3 , 2
E:F:T:. , plus , more , 0 , 1 , 3
b.o.-s.o.-' , interprétation , interpretation , 0 , 3 , 2
a.A:.- , excréter , to excrete , 0 , 2 , 1
b.e.-b.u.-wa.e.-' , compétence en interprétariat | compétence en guidage , competence in interpreting | competence in guiding , 0 , 3 , 2
t.-T:.A:.-' , saison pluvieuse , rainy season , 0 , 3 , 2
m.we.- , acceptation des contraintes , acceptance of constraints , 0 , 2 , 2
l.j.- , réseau d'influence dune œuvre artistique | réseau d'influence dune œuvre poétique , influence network of an artistic work | influence network of a poetic work , 0 , 2 , 2
