"I:","information in general","information en general"
"O:","process | verbishness | bi-polarity","processus | verbe | bi-polarit√©"
"M:","representation | nounishness | ternarity","Entit√©, nom, ternarit√© s√©miotique"
"F:","fullness | non-fiction","pl√©nitude | non-fiction"
"U:","virtual","virtuel"
"A:","actual","actuel"
"S:","sign","signe"
"B:","being","√™tre"
"T:","thing","chose"
"E:","emptiness | silence | illusion | fiction","vide | silence | illusion | fiction"
"O:O:.","generate","g√©n√©rer"
"O:M:.","act","agir"
"M:O:.","mutation","mutation"
"M:M:.","becoming","devenir"
"O:U:.","generate towards the virtual","g√©n√©rer vers le virtuel"
"O:A:.","generate towards the actual","g√©n√©rer vers líactuel"
"U:O:.","generate from the virtual","g√©n√©rer √† partir du virtuel"
"A:O:.","generate from the actual","g√©n√©rer √† partir de líactuel"
"wo.","reflect","r√©fl√©chir"
"wu.","perceive","percevoir"
"wa.","move","bouger"
"we.","react","r√©agir"
"O:S:.","act according to sign","agir selon le signe"
"O:B:.","act according to being","agir selon lí√™tre"
"O:T:.","act according to thing","agir selon la chose"
"U:M:.","act virtually","agir virtuellement"
"A:M:.","act actually","agir actuellement"
"y.","know","savoir"
"u.","express","√©noncer"
"o.","want","vouloir"
"a.","be commited","síengager"
"e.","can","pouvoir"
"i.","do","faire"
"S:O:.","sign in mutation","signe en mutation"
"B:O:.","being in mutation","√™tre en mutation"
"T:O:.","thing in mutation","chose en mutation"
"M:U:.","virtual mutation","mutation virtuelle"
"M:A:.","actual mutation","mutation actuelle"
"j.","signifier mutation","mutation de signifiant"
"g.","document mutation","mutation documentaire"
"h.","signified mutation","mutation de signifi√©"
"c.","personal mutation","mutation personnelle"
"p.","referent mutation","mutation de r√©f√©rent"
"x.","material mutation","mutation mat√©rielle"
"M:S:.","becoming in the sign","devenir dans le signe"
"M:B:.","becoming in the being","devenir dans lí√™tre"
"M:T:.","becoming in the thing","devenir dans la chose"
"S:M:.","becoming of the sign","devenir du signe"
"B:M:.","becoming of the being","devenir de lí√™tre"
"T:M:.","becoming of the thing","devenir de la chose"
"s.","thought","pens√©e"
"k.","society","soci√©t√©"
"d.","truth","v√©rit√©"
"b.","language","langage"
"m.","affect","affect"
"f.","life","vie"
