"o.wa.-","use administrative /commercial law"
"E:B:.b.-","at the left"
"b.a.-b.a.-f.o.-’","author"
"s.-A:.A:.-S:.A:.-’","concept: logical form"
"t.o.-s.o.-s.u.-’","future"
"x.t.-","deficiency in coordination | deficiency in resources management"
"n.j.-","sustainable transformation of language"
"d.i.-m.i.-t.u.-’","awarded | decorated"
"m.o.-m.o.-’","love"
"b.u.-","speech"
"e.o.-we.h.-’","establish norms & standards"
"o.h.-","choose an interpretation"
"d.a.-f.a.-f.o.-’","teacher"
"wo.s.-","brainstorm"
"c.b.-","language of exclusion or hate | discrimination based on prejudice"
"n.o.-k.o.-’","religion"
"d.u.-k.u.-’","temple"
"t.o.-d.o.-s.u.-’","relevant"
"M:O:.j.-","transformation in knowledge"
"s.-A:.A:.-B:.U:.-’","affect: tropism"
"b.e.-s.u.-’","visual culture"
"s.i.-b.i.-t.u.-’","multimedia"
"S:M:.","becoming of the sign"
"E:A:.wu.-","his | my (masculine) | your (masculine)"
"t.a.-k.a.-’","public service"
"d.a.-t.a.-’","savings"
"O:M:.k.-","undo society"
"y.wu.-","assume one’s personal identity"
"f.e.-n.i.-wa.e.-’","extreme sports"
"m.i.-t.i.-t.u.-’","secure | protected"
"l.e.-n.i.-wa.e.-’","tool design / design"
"E:S:.i.-","will do"
"n.o.-d.o.-’","evaluation"
"E:B:.s.-","in open (space)"
"y.a.-","learn"
"m.o.-f.o.-’","seduction"
"M:M:.a.-","social function"
"x.c.-","new acquisition"
"n.e.-b.a.-wa.e.-’","representing a group"
"f.o.-f.o.-s.u.-’","living"
"M:M:.U:M:.-","basis of human development into the virtual"
"wo.M:M:.-","cultivate experience variation"
"p.f.-","theft | unfair competition"
"u.i.-","lend"
"d.e.-k.i.-’","commercial transaction"
"f.i.-b.i.-t.u.-’","medicated"
"l.-S:.U:.-’","spatial north"
"t.i.-s.i.-’","vehicle"
"E:O:.T:M:.-","low | under | behind | after"
"E:A:.u.-","expressing"
"k.o.-l.o.-s.u.-’","instituted"
"d.i.-n.i.-’","steering device"
"o.S:.-","bring | carry"
"we.i.-","renew equipment"
"d.e.-d.i.-’","measurement"
"b.e.-l.u.-’","scientific comprehension"
"j.e.-","power recognition"
"E:B:B:.","usually | regularly"
"f.o.-t.o.-’","growth"
"d.o.-b.o.-s.u.-’","described"
"o.O:M:.-","perform on a basis of will"
"s.o.-m.o.-s.u.-’","comical | funny"
"s.o.-f.o.-s.u.-’","embodied"
"t.e.-f.u.-’","original music"
"E:M:.t.-","relative space beginning"
"g.k.-","lack of interest from the public | lack of interest for the medium"
"b.-S:.A:.-’","yellow"
"k.c.-","renewed social bond"
"O:O:.t.-","provide resources for action through time mastering"
"l.u.-f.u.-d.u.-’","tactile | kinesthetic"
"E:O:.l.-","low (relative to whole) | behind (relative to whole) | after (spatialized time)"
"E:A:U:.","quotation"
"E:O:B:.","comparative medium"
"E:A:.d.-","towards the back"
"s.u.-d.u.-’","legend"
"s.-O:.O:.-M:.O:.-’","Noetic levels and functions"
"u.M:M:.-","undermine the semiotic function"
"O:M:.x.-","work on the method / on the project"
"h.i.-","relevant interpretation of facts"
"p.s.-","lack of means | situation of need | poverty"
"i.U:.-","hit"
"t.i.-l.i.-’","city"
"E:U:.n.-","at half the height | at base level"
"k.a.-f.a.-’","meal"
"t.e.-t.u.-’","augmented cognition"
"m.a.-b.a.-’","game"
"we.A:.-","insulate / protect from contact"
"k.u.-t.u.-’","omen | divinatory sign"
"wu.x.-","assess the technical system"
"i.g.-","elaborate one’s discourse"
"s.a.-m.a.-’","marriage"
"e.o.-","design | plan"
"O:O:.B:.-","control physicochemical experience"
"wu.g.-","assess the communication mode in use"
"k.e.-b.a.-’","credibility"
"o.u.-","campaign"
"wo.b.-","augment linguistic resources"
"h.M:M:.-","spiritual obstacle"
"t.o.-f.o.-’","rhythm"
"E:M:.c.-","actual functional cause"
"E:B:.wo.-","you (singular)"
"s.-O:.O:.-B:.A:.-’","quantitative judgement"
"E:T:.c.-","state (of an abstract machine)"
"b.O:M:.-","language actualized"
"E:O:S:.","comparative minus"
"m.a.-m.a.-f.o.-’","familiar"
"E:B:S:.","rarely"
"e.B:.-","gather"
"k.i.-n.i.-’","workshop"
"m.y.-","emotional intelligence"
"n.a.-k.a.-f.o.-’","reformer"
"x.M:M:.-","technical obstacle"
"O:U:.","generate towards the virtual"
"s.a.-t.a.-’","data"
"i.x.-","work with matter"
"O:M:.i.-we.h.-’","improve collective intelligence by augmenting processes"
"c.s.-","fanaticism | ultraconservatism"
"t.e.-m.u.-’","dramatic representation"
"a.f.-","physically assault"
"O:O:.c.-","govern the community"
"E:E:M:.","case indicators for verb clauses"
"E:T:.t.-","outside"
"s.u.-k.u.-’","icon"
"m.u.-t.u.-d.u.-’","masked | concealed"
"t.o.-l.o.-s.u.-’","simultaneous"
"u.F:.-","to move oneself"
"d.wu.-","aesthetic constraint"
"E:T:.p.-","goal | for | purpose"
"E:B:.f.-","at the right of"
"y.n.-","ignore principles"
"d.i.-t.i.-t.u.-’","numbered | measured"
"x.p.-","sharing"
"k.u.-m.u.-’","stigmata"
"s.-O:.O:.-T:.U:.-’","material imagination"
"l.u.-k.u.-’","miracle"
"E:U:.wu.-","this (masculine)"
"E:S:O:.","hypothesis (if)"
"c.f.-","personal failure | personal defeat"
"f.o.-m.o.-’","passion"
"o.d.-","lie"
"b.y.-","formal intelligence"
"n.o.-n.o.-s.u.-’","human"
"i.O:M:.-we.h.-’","to improve collective intelligence through processes"
"y.e.-we.h.-’","propose solutions"
"t.o.-k.o.-s.u.-’","traditional"
"a.A:.-","excrete"
"k.u.-k.u.-’","divine"
"m.we.-","acceptance of constraints"
"l.j.-","influence network of an artistic work | influence network of a poetic work"
"b.i.-b.i.-t.u.-’","ubiquitous"
"m.h.-","coherence between speech and action"
"s.e.-d.u.-wa.e.-’","information search"
"b.e.-b.u.-wa.e.-’","interpreter | touristic guide"
"t.e.-b.u.-wa.e.-’","eloquence"
"M:O:.f.-","obstacle related to people"
"t.-T:.A:.-’","rainy season"
"b.o.-s.o.-’","interpretation"
"e.b.-","be incoherent"
"b.i.-k.i.-’","public place"
"M:M:.e.-","ability"
"k.u.-d.u.-’","aura"
"m.a.-f.a.-f.o.-’","helper"
"b.-B:.U:.-’","green"
"f.o.-k.o.-’","rite"
"O:M:.o.-","perform in will"
"f.a.-b.a.-f.o.-’","musician"
"d.-S:.U:.-’","hard | rigid"
"E:S:.e.-","will be able"
"f.o.-d.o.-’","attention"
"E:S:.O:O:.-","first person"
"e.O:M:.-","perform on a basis of capacities"
"O:O:.F:.-","control sensorimotor experience"
"f.we.-","leisure | entertainment | recreation"
"s.-T:.A:.-’","wet"
"wo.wu.-","get used"
"l.a.-t.a.-’","atlas"
"t.a.-d.a.-’","investment"
"p.b.-","bad reputation | rejection from the consumers"
"E:T:M:.","space distribution"
"m.u.-s.u.-d.u.-’","fantasized"
"s.a.-f.a.-’","psychotherapy"
"n.-T:.U:.-’","air | wind"
"t.o.-m.o.-’","hope"
"f.u.-n.u.-’","attribute"
"u.e.-","judge"
"k.a.-m.a.-’","fraternity"
"b.o.-l.o.-’","transmission"
"we.e.-","renew competences"
"n.a.-d.a.-f.o.-’","customer"
"f.o.-n.o.-s.u.-’","step | gait"
"t.o.-t.o.-’","change"
"s.i.-n.i.-’","cooling device"
"f.a.-b.a.-’","ï»¿ï»¿concert"
"b.o.-n.o.-’","poetry"
"we.M:M:.-","cultivate a sustainable equilibrium"
"e.T:.-","build | combine"
"s.i.-","interface"
"j.i.-","strategic thinking development"
"p.M:O:.-","transformation on ability basis"
"s.a.-d.a.-’","personal advice"
"s.-U:.U:.-T:.A:.-’","project: causes and effects"
"f.M:O:.-","personal connection of a creation-innovation cycle"
"b.o.-t.o.-s.u.-’","promised"
"E:O:.p.-","manner of definition (virtual)"
"k.u.-f.u.-’","sanctity | holiness"
"t.g.-","traditional theme | recurring theme"
"k.wu.-","community of taste"
"E:F:.U:O:.-","indifferent number"
"e.wo.-","exploit a talent / a gift"
"k.g.-","re-created public | re-created media community"
"f.e.-n.i.-’","survival"
"E:M:.p.-","virtual existential cause"
"g.o.-","assimilation of the unconscious by the ego"
"o.A:.-","send"
"O:O:.p.-","govern the relation to objectives"
"t.u.-b.u.-’","text"
"E:B:.O:M:.-","present tense"
"s.o.-n.o.-s.u.-’","ï»¿meditated"
"k.o.-d.o.-s.u.-’","honest"
"p.o.-","contemplation of the object of desire"
"wa.m.-","sublimate one’s emotions"
"h.m.-","inconsistency between speech and act"
"d.e.-b.i.-wa.e.-’","mastery of communication techniques"
"i.k.-","steal"
"E:U:.j.-","(by) contrast | but | and yet | on the contrary"
"M:U:.","virtual mutation"
"t.x.-","calendar of a project | budget of a project"
"d.u.-t.u.-d.u.-’","anchor"
"wo.f.-","experiment new bodily habits"
"e.s.-","neglect codes"
"wu.k.-","be sensitive to human relations"
"k.x.-","renewed project team"
"s.wo.-","strategy"
"E:B:O:.","belief"
"l.wo.-","freedom of thought"
"m.o.-b.o.-s.u.-’","expressed"
"wo.O:M:.-","identify key-points of working activity"
"j.O:O:.-","generative language change"
"k.a.-t.a.-’","administration | office"
"b.h.-","context reinterpretation"
"k.e.-f.a.-wa.e.-’","taking care of oneself"
"f.o.-m.o.-s.u.-’","joyful"
"m.u.-","symptom"
"f.o.-f.o.-’","body"
"n.o.-b.o.-’","style"
"a.j.-","assume one’s style"
"O:O:.O:O:.-","live"
"s.u.-b.u.-’","phrase"
"wu.A:.-","touch | recognize tactile forms"
"wu.M:M:.-","cultivate subtlety of perception"
"d.u.-","pointer"
"t.e.-d.u.-’","informational problem"
"o.p.-","choose a subject"
"d.a.-k.a.-’","inspection"
"M:M:.j.-","poetic creation-innovation cycle"
"p.wu.-","gain / loss of discernment"
"M:O:.M:M:.-","obstacle"
"m.i.-d.i.-t.u.-’","targeted"
"E:B:.j.-","mutation"
"a.o.-","follow"
"l.o.-b.o.-s.u.-’","composed"
"t.a.-t.a.-’","foundation"
"k.y.-","relational intelligence"
"n.u.-s.u.-’","overall form | overall structure"
"M:M:.-T:.U:.-’","abstract zenith"
"u.wo.-","publish / exhibit an original work"
"wo.k.-","plant the seeds of social change"
"m.u.-m.u.-d.u.-’","other"
"n.-B:.A:.-’","metal"
"s.i.-s.i.-’","switch"
"f.-T:.U:.-’","spicy"
"m.i.-s.i.-t.u.-’","trapped"
"M:M:.wu.-","aesthetic sources of meaning"
"t.e.-k.u.-’","original symbol"
"d.i.-l.i.-t.u.-’","address | indicator"
"u.T:.-","to walk | to travel on land"
"M:O:.b.-","obstacle in language"
"m.-T:.A:.-’","sadness"
"we.we.-","die"
"x.wa.-","new vehicle | new tool"
"s.a.-k.a.-f.o.-’","politician"
"O:M:.O:M:.-","perform"
"m.u.-k.u.-d.u.-’","sacrificed"
"t.O:O:.-","sources of meaning in memory"
"n.a.-","judge"
"x.k.-","lack of human resources"
"s.h.-","cultural project | cultural dimension of a creation-innovation project"
"M:M:.a.-M:M:.a.-’","social functions"
"O:O:.wo.-","sprout"
"E:S:.a.-","will commit"
"y.i.-","explicate | formalize"
"f.a.-k.a.-’","welcome | hospitality"
"E:T:.wo.-","it"
"b.u.-b.u.-d.u.-’","significant"
"s.i.-l.i.-’","articulation | joint"
"p.O:O:.-","generative object change"
"m.wa.-","audacity"
"E:T:A:.","by experience | from the facts"
"n.i.-d.i.-t.u.-’","quick"
"O:O:.y.-","work on knowledge"
